Game 12: Q-table size = 24435, Epsilon = 0.2811
Game 13: Q-table size = 24451, Epsilon = 0.2797
Game 14: Q-table size = 24468, Epsilon = 0.2783
Game 15: Q-table size = 24483, Epsilon = 0.2769
Game 16: Q-table size = 24503, Epsilon = 0.2755
Game 17: Q-table size = 24514, Epsilon = 0.2741
Game 18: Q-table size = 24532, Epsilon = 0.2727
Game 19: Q-table size = 24546, Epsilon = 0.2714
Game 20: Q-table size = 24558, Epsilon = 0.2700
Game 21: Q-table size = 24568, Epsilon = 0.2687
Game 22: Q-table size = 24574, Epsilon = 0.2673
Game 23: Q-table size = 24591, Epsilon = 0.2660
Game 24: Q-table size = 24600, Epsilon = 0.2647
Game 25: Q-table size = 24620, Epsilon = 0.2633
Game 26: Q-table size = 24638, Epsilon = 0.2620
Game 27: Q-table size = 24639, Epsilon = 0.2607
Game 28: Q-table size = 24657, Epsilon = 0.2594
Game 29: Q-table size = 24667, Epsilon = 0.2581
Game 30: Q-table size = 24681, Epsilon = 0.2568
Game 31: Q-table size = 24690, Epsilon = 0.2555
Game 32: Q-table size = 24703, Epsilon = 0.2543
Game 33: Q-table size = 24722, Epsilon = 0.2530
Game 34: Q-table size = 24741, Epsilon = 0.2517
Game 35: Q-table size = 24757, Epsilon = 0.2505
Game 36: Q-table size = 24771, Epsilon = 0.2492
Game 37: Q-table size = 24785, Epsilon = 0.2480
Game 38: Q-table size = 24801, Epsilon = 0.2467
Game 39: Q-table size = 24820, Epsilon = 0.2455
Game 40: Q-table size = 24824, Epsilon = 0.2443
Game 41: Q-table size = 24831, Epsilon = 0.2430
Game 42: Q-table size = 24847, Epsilon = 0.2418
Game 43: Q-table size = 24862, Epsilon = 0.2406
Game 44: Q-table size = 24872, Epsilon = 0.2394
Game 45: Q-table size = 24883, Epsilon = 0.2382
Game 46: Q-table size = 24887, Epsilon = 0.2370
Game 47: Q-table size = 24903, Epsilon = 0.2358
Game 48: Q-table size = 24922, Epsilon = 0.2347
Game 49: Q-table size = 24929, Epsilon = 0.2335
Game 50: Q-table size = 24939, Epsilon = 0.2323
Game 51: Q-table size = 24955, Epsilon = 0.2312
Game 52: Q-table size = 24964, Epsilon = 0.2300
Game 53: Q-table size = 24973, Epsilon = 0.2289
Game 54: Q-table size = 24992, Epsilon = 0.2277
Game 55: Q-table size = 24992, Epsilon = 0.2266
Game 56: Q-table size = 25005, Epsilon = 0.2254
Game 57: Q-table size = 25005, Epsilon = 0.2243
Game 58: Q-table size = 25006, Epsilon = 0.2232
Game 59: Q-table size = 25006, Epsilon = 0.2221
Game 60: Q-table size = 25011, Epsilon = 0.2210
Game 61: Q-table size = 25027, Epsilon = 0.2199
Game 62: Q-table size = 25029, Epsilon = 0.2188
Game 63: Q-table size = 25038, Epsilon = 0.2177
Game 64: Q-table size = 25038, Epsilon = 0.2166
Game 65: Q-table size = 25045, Epsilon = 0.2155
Game 66: Q-table size = 25054, Epsilon = 0.2144
Game 67: Q-table size = 25061, Epsilon = 0.2133
Game 68: Q-table size = 25071, Epsilon = 0.2123
Game 69: Q-table size = 25082, Epsilon = 0.2112
Game 70: Q-table size = 25098, Epsilon = 0.2102
Game 71: Q-table size = 25108, Epsilon = 0.2091
Game 72: Q-table size = 25115, Epsilon = 0.2081
Game 73: Q-table size = 25124, Epsilon = 0.2070
Game 74: Q-table size = 25126, Epsilon = 0.2060
Game 75: Q-table size = 25139, Epsilon = 0.2050
Game 76: Q-table size = 25150, Epsilon = 0.2039
Game 77: Q-table size = 25166, Epsilon = 0.2029
Game 78: Q-table size = 25182, Epsilon = 0.2019
Game 79: Q-table size = 25201, Epsilon = 0.2009
Game 80: Q-table size = 25211, Epsilon = 0.1999
Game 81: Q-table size = 25216, Epsilon = 0.1989
Game 82: Q-table size = 25221, Epsilon = 0.1979
Game 83: Q-table size = 25237, Epsilon = 0.1969
Game 84: Q-table size = 25237, Epsilon = 0.1959
Game 85: Q-table size = 25247, Epsilon = 0.1949
Game 86: Q-table size = 25265, Epsilon = 0.1940
Game 87: Q-table size = 25268, Epsilon = 0.1930
Game 88: Q-table size = 25268, Epsilon = 0.1920
Game 89: Q-table size = 25286, Epsilon = 0.1911
Game 90: Q-table size = 25299, Epsilon = 0.1901
Game 91: Q-table size = 25317, Epsilon = 0.1892
Game 92: Q-table size = 25334, Epsilon = 0.1882
Game 93: Q-table size = 25350, Epsilon = 0.1873
Game 94: Q-table size = 25361, Epsilon = 0.1863
Game 95: Q-table size = 25361, Epsilon = 0.1854
Game 96: Q-table size = 25366, Epsilon = 0.1845
Game 97: Q-table size = 25383, Epsilon = 0.1836
Game 98: Q-table size = 25392, Epsilon = 0.1826
Game 99: Q-table size = 25392, Epsilon = 0.1817
Game 100: Q-table size = 25408, Epsilon = 0.1808
Game 101: Q-table size = 25420, Epsilon = 0.1799
Game 102: Q-table size = 25435, Epsilon = 0.1790
Game 103: Q-table size = 25448, Epsilon = 0.1781
Game 104: Q-table size = 25459, Epsilon = 0.1772
Game 105: Q-table size = 25466, Epsilon = 0.1763
Game 106: Q-table size = 25482, Epsilon = 0.1755
Game 107: Q-table size = 25496, Epsilon = 0.1746
Game 108: Q-table size = 25500, Epsilon = 0.1737
Game 109: Q-table size = 25500, Epsilon = 0.1728
Game 110: Q-table size = 25500, Epsilon = 0.1720
Game 111: Q-table size = 25500, Epsilon = 0.1711
Game 112: Q-table size = 25510, Epsilon = 0.1703
Game 113: Q-table size = 25529, Epsilon = 0.1694
Game 114: Q-table size = 25538, Epsilon = 0.1686
Game 115: Q-table size = 25539, Epsilon = 0.1677
Game 116: Q-table size = 25552, Epsilon = 0.1669
Game 117: Q-table size = 25559, Epsilon = 0.1661
Game 118: Q-table size = 25559, Epsilon = 0.1652
Game 119: Q-table size = 25567, Epsilon = 0.1644
Game 120: Q-table size = 25587, Epsilon = 0.1636
Game 121: Q-table size = 25587, Epsilon = 0.1628
Game 122: Q-table size = 25587, Epsilon = 0.1619
Game 123: Q-table size = 25597, Epsilon = 0.1611
Game 124: Q-table size = 25600, Epsilon = 0.1603
Game 125: Q-table size = 25610, Epsilon = 0.1595
Game 126: Q-table size = 25613, Epsilon = 0.1587
Game 127: Q-table size = 25617, Epsilon = 0.1579
Game 128: Q-table size = 25627, Epsilon = 0.1571
Game 129: Q-table size = 25643, Epsilon = 0.1564
Game 130: Q-table size = 25655, Epsilon = 0.1556
Game 131: Q-table size = 25663, Epsilon = 0.1548
Game 132: Q-table size = 25663, Epsilon = 0.1540
Game 133: Q-table size = 25675, Epsilon = 0.1533
Game 134: Q-table size = 25686, Epsilon = 0.1525
Game 135: Q-table size = 25702, Epsilon = 0.1517
Game 136: Q-table size = 25717, Epsilon = 0.1510
Game 137: Q-table size = 25719, Epsilon = 0.1502
Game 138: Q-table size = 25719, Epsilon = 0.1495
Game 139: Q-table size = 25727, Epsilon = 0.1487
Game 140: Q-table size = 25742, Epsilon = 0.1480
Game 141: Q-table size = 25754, Epsilon = 0.1472
Game 142: Q-table size = 25772, Epsilon = 0.1465
Game 143: Q-table size = 25778, Epsilon = 0.1458
Game 144: Q-table size = 25794, Epsilon = 0.1450
Game 145: Q-table size = 25794, Epsilon = 0.1443
Game 146: Q-table size = 25805, Epsilon = 0.1436
Game 147: Q-table size = 25820, Epsilon = 0.1429
Game 148: Q-table size = 25835, Epsilon = 0.1422
Game 149: Q-table size = 25847, Epsilon = 0.1414
Game 150: Q-table size = 25851, Epsilon = 0.1407
Game 151: Q-table size = 25851, Epsilon = 0.1400
Game 152: Q-table size = 25859, Epsilon = 0.1393
Game 153: Q-table size = 25878, Epsilon = 0.1386
Game 154: Q-table size = 25885, Epsilon = 0.1379
Game 155: Q-table size = 25905, Epsilon = 0.1373
Game 156: Q-table size = 25919, Epsilon = 0.1366
Game 157: Q-table size = 25938, Epsilon = 0.1359
Game 158: Q-table size = 25951, Epsilon = 0.1352
Game 159: Q-table size = 25953, Epsilon = 0.1345
Game 160: Q-table size = 25953, Epsilon = 0.1339
Game 161: Q-table size = 25953, Epsilon = 0.1332
Game 162: Q-table size = 25962, Epsilon = 0.1325
Game 163: Q-table size = 25978, Epsilon = 0.1319
Game 164: Q-table size = 25982, Epsilon = 0.1312
Game 165: Q-table size = 26000, Epsilon = 0.1305
Game 166: Q-table size = 26005, Epsilon = 0.1299
Game 167: Q-table size = 26018, Epsilon = 0.1292
Game 168: Q-table size = 26035, Epsilon = 0.1286
Game 169: Q-table size = 26047, Epsilon = 0.1280
Game 170: Q-table size = 26047, Epsilon = 0.1273
Game 171: Q-table size = 26060, Epsilon = 0.1267
Game 172: Q-table size = 26069, Epsilon = 0.1260
Game 173: Q-table size = 26080, Epsilon = 0.1254
Game 174: Q-table size = 26091, Epsilon = 0.1248
Game 175: Q-table size = 26093, Epsilon = 0.1242
Game 176: Q-table size = 26093, Epsilon = 0.1235
Game 177: Q-table size = 26103, Epsilon = 0.1229
Game 178: Q-table size = 26103, Epsilon = 0.1223
Game 179: Q-table size = 26113, Epsilon = 0.1217
Game 180: Q-table size = 26123, Epsilon = 0.1211
Game 181: Q-table size = 26124, Epsilon = 0.1205
Game 182: Q-table size = 26125, Epsilon = 0.1199
Game 183: Q-table size = 26125, Epsilon = 0.1193
Game 184: Q-table size = 26125, Epsilon = 0.1187
Game 185: Q-table size = 26130, Epsilon = 0.1181
Game 186: Q-table size = 26130, Epsilon = 0.1175
Game 187: Q-table size = 26130, Epsilon = 0.1169
Game 188: Q-table size = 26130, Epsilon = 0.1163
Game 189: Q-table size = 26131, Epsilon = 0.1157
Game 190: Q-table size = 26131, Epsilon = 0.1152
Game 191: Q-table size = 26136, Epsilon = 0.1146
Game 192: Q-table size = 26152, Epsilon = 0.1140
Game 193: Q-table size = 26152, Epsilon = 0.1134
Game 194: Q-table size = 26165, Epsilon = 0.1129
Game 195: Q-table size = 26173, Epsilon = 0.1123
Game 196: Q-table size = 26173, Epsilon = 0.1118
Game 197: Q-table size = 26180, Epsilon = 0.1112
Game 198: Q-table size = 26180, Epsilon = 0.1106
Game 199: Q-table size = 26182, Epsilon = 0.1101
Game 200: Q-table size = 26194, Epsilon = 0.1095
Game 201: Q-table size = 26194, Epsilon = 0.1090
Game 202: Q-table size = 26206, Epsilon = 0.1084
Game 203: Q-table size = 26216, Epsilon = 0.1079
Game 204: Q-table size = 26229, Epsilon = 0.1074
Game 205: Q-table size = 26229, Epsilon = 0.1068
Game 206: Q-table size = 26229, Epsilon = 0.1063
Game 207: Q-table size = 26229, Epsilon = 0.1058
Game 208: Q-table size = 26229, Epsilon = 0.1052
Game 209: Q-table size = 26229, Epsilon = 0.1047
Game 210: Q-table size = 26235, Epsilon = 0.1042
Game 211: Q-table size = 26249, Epsilon = 0.1037
